clid	calldate	src	dst	dcontext	channel	lastapp	billsec
4742333143	2019-11-13 13:44:20	4742333143	s	incoming	Local/s@incoming-00011432;2	Dial	2
84742789214	2019-11-13 13:44:39	84742789214	s	incoming	Local/s@incoming-00011434;2	Dial	3
4742333143	2019-11-13 13:44:20	4742333143	909800	incoming	DAHDI/i1/4742333143-13cdb	Dial	48
84742430138	2019-11-13 13:44:08	84742430138	909800	incoming	DAHDI/i1/84742430138-13cd8	Dial	62
9042186145	2019-11-13 13:45:17	9042186145	s	incoming	Local/s@incoming-00011436;2	Dial	2
84742789214	2019-11-13 13:44:39	84742789214	909800	incoming	DAHDI/i1/84742789214-13cdc	Dial	58
84742353064	2019-11-13 13:44:13	84742353064	909800	incoming	DAHDI/i1/84742353064-13cd9	Dial	160
84746920236	2019-11-13 13:43:22	84746920236	909800	incoming	DAHDI/i1/84746920236-13cd5	Dial	290
84742345709	2019-11-13 13:48:33	84742345709	s	incoming	Local/s@incoming-00011438;2	Dial	3
84742345709	2019-11-13 13:48:33	84742345709	909800	incoming	DAHDI/i1/84742345709-13ce4	Dial	9
84742345709	2019-11-13 13:48:54	84742345709	s	incoming	Local/s@incoming-0001143a;2	Dial	2
89616018814	2019-11-13 13:49:15	89616018814	s	incoming	Local/s@incoming-0001143c;2	Dial	2
84742370745	2019-11-13 13:49:22	84742370745	s	incoming	Local/s@incoming-0001143e;2	Dial	2
84742370745	2019-11-13 13:49:22	84742370745	909800	incoming	DAHDI/i1/84742370745-13ce8	Dial	4
9042186145	2019-11-13 13:45:17	9042186145	909800	incoming	DAHDI/i1/9042186145-13cdd	Dial	268
84742370745	2019-11-13 13:49:55	84742370745	s	incoming	Local/s@incoming-00011440;2	Dial	2
9050450694	2019-11-13 13:50:18	9050450694	s	incoming	Local/s@incoming-00011442;2	Dial	2
84742370745	2019-11-13 13:49:55	84742370745	909800	incoming	DAHDI/i1/84742370745-13ce9	Dial	37
84742345709	2019-11-13 13:48:54	84742345709	909800	incoming	DAHDI/i1/84742345709-13ce6	Dial	107
89616018814	2019-11-13 13:49:15	89616018814	909800	incoming	DAHDI/i1/89616018814-13ce7	Dial	88
9050450694	2019-11-13 13:50:18	9050450694	242717	incoming	SIP/megafon-000483fa	Dial	53
89056838393	2019-11-13 13:51:43	89056838393	909800	incoming	DAHDI/i1/89056838393-13ced	Dial	0
89056838393	2019-11-13 13:51:43	89056838393	s	incoming	Local/s@incoming-00011446;2	Dial	0
84742272334	2019-11-13 13:54:40	84742272334	s	incoming	Local/s@incoming-00011448;2	Dial	2
4742724601	2019-11-13 13:55:43	4742724601	s	incoming	Local/s@incoming-0001144a;2	Dial	2
84742272334	2019-11-13 13:54:40	84742272334	909800	incoming	DAHDI/i1/84742272334-13cf5	Dial	147
4742724601	2019-11-13 13:55:43	4742724601	909800	incoming	DAHDI/i1/4742724601-13cf7	Dial	150
4742333143	2019-11-13 13:58:35	4742333143	s	incoming	Local/s@incoming-0001144c;2	Dial	2
4742333143	2019-11-13 13:58:35	4742333143	909800	incoming	DAHDI/i1/4742333143-13cfd	Dial	9
4742774213	2019-11-13 13:59:43	4742774213	s	incoming	Local/s@incoming-0001144e;2	Dial	2
4742774213	2019-11-13 13:59:43	4742774213	909800	incoming	DAHDI/i1/4742774213-13d02	Dial	26
4742774213	2019-11-13 14:00:27	4742774213	s	incoming	Local/s@incoming-00011450;2	Dial	2
4742774213	2019-11-13 14:00:27	4742774213	909800	incoming	DAHDI/i1/4742774213-13d04	Dial	35
89601439542	2019-11-13 14:01:10	89601439542	s	incoming	Local/s@incoming-00011452;2	Dial	2
4742438779	2019-11-13 14:01:40	4742438779	s	incoming	Local/s@incoming-00011454;2	Dial	2
4742438779	2019-11-13 14:01:40	4742438779	909800	incoming	DAHDI/i1/4742438779-13d08	Dial	26
89601439542	2019-11-13 14:01:10	89601439542	909800	incoming	DAHDI/i1/89601439542-13d05	Dial	110
84742272366	2019-11-13 14:04:36	84742272366	s	incoming	Local/s@incoming-00011456;2	Dial	2
84742272366	2019-11-13 14:04:36	84742272366	909800	incoming	DAHDI/i1/84742272366-13d0c	Dial	78
84742272366	2019-11-13 14:06:06	84742272366	s	incoming	Local/s@incoming-00011458;2	Dial	3
84742272366	2019-11-13 14:06:06	84742272366	909800	incoming	DAHDI/i1/84742272366-13d12	Dial	28
84742272366	2019-11-13 14:06:41	84742272366	s	incoming	Local/s@incoming-0001145a;2	Dial	2
89997502230	2019-11-13 14:07:12	89997502230	s	incoming	Local/s@incoming-0001145c;2	Dial	2
84742272366	2019-11-13 14:06:41	84742272366	909800	incoming	DAHDI/i1/84742272366-13d16	Dial	36
84742345709	2019-11-13 14:08:00	84742345709	s	incoming	Local/s@incoming-0001145e;2	Dial	2
